threshold,precision,recall,f1,tn,fp,fn,tp
0.004539453983306885,0.0045670121201475495,0.8666666666666667,0.009086143630962782,22765,5667,4,26
0.004579452046981225,0.004681310767014764,0.8666666666666667,0.009312320916905445,22904,5528,4,26
0.004620949855217566,0.004801477377654663,0.8666666666666667,0.009550045913682277,23043,5389,4,26
0.00466808896798354,0.004927041879855979,0.8666666666666667,0.009798379498775203,23181,5251,4,26
0.0047054290771484375,0.005059350068106636,0.8666666666666667,0.010059972915457535,23319,5113,4,26
0.004744772956921504,0.005201040208041608,0.8666666666666667,0.010340027838536488,23459,4973,4,26
0.004788577556610107,0.0053475935828877,0.8666666666666667,0.01062959934587081,23596,4836,4,26
0.004832278444216801,0.005506141465480729,0.8666666666666667,0.010942760942760943,23736,4696,4,26
0.0048748606901902435,0.005673139864717434,0.8666666666666667,0.011272490786906569,23875,4557,4,26
0.0049202862611183755,0.005849268841394826,0.8666666666666667,0.011620111731843576,24013,4419,4,26
0.004962389744245089,0.006038086391082211,0.8666666666666667,0.011992619926199263,24152,4280,4,26
0.005016569541050838,0.006239500839932805,0.8666666666666667,0.012389802239695021,24291,4141,4,26
0.005064686995286208,0.006453214197071234,0.8666666666666667,0.012811037201281104,24429,4003,4,26
0.005111654400825501,0.006683804627249357,0.8666666666666667,0.013265306122448979,24568,3864,4,26
0.005164137345093946,0.006929637526652452,0.8666666666666667,0.013749338974087784,24706,3726,4,26
0.0052201108290598945,0.0071962358151120955,0.8666666666666667,0.014273950041174856,24845,3587,4,26
0.0052721500396728516,0.007482014388489209,0.8666666666666667,0.014835948644793153,24983,3449,4,26
0.00533007222872514,0.0077937649880095924,0.8666666666666667,0.015448603683897801,25122,3310,4,26
0.0053914321385897124,0.008132624335314358,0.8666666666666667,0.016114037806011776,25261,3171,4,26
0.0054574530399762655,0.008502289077828646,0.8666666666666667,0.01683937823834197,25400,3032,4,26
0.005518395167130689,0.008904109589041096,0.8666666666666667,0.017627118644067796,25538,2894,4,26
0.005585237603921156,0.009349154980222941,0.8666666666666667,0.018498754891497687,25677,2755,4,26
0.00565002597295321,0.009462528387585163,0.8333333333333334,0.0187125748502994,25815,2617,5,25
0.0057283122722919175,0.009984025559105431,0.8333333333333334,0.01973164956590371,25953,2479,5,25
0.005811423154977653,0.010570824524312896,0.8333333333333334,0.020876826722338204,26092,2340,5,25
0.005913498309942393,0.011230907457322551,0.8333333333333334,0.022163120567375887,26231,2201,5,25
0.0059958529472351075,0.011973180076628353,0.8333333333333334,0.023607176581680833,26369,2063,5,25
0.006083823029811568,0.012827090815802977,0.8333333333333334,0.025265285497726123,26508,1924,5,25
0.006177834364084096,0.013812154696132596,0.8333333333333334,0.02717391304347826,26647,1785,5,25
0.006301947969656723,0.014952153110047847,0.8333333333333334,0.02937720329024677,26785,1647,5,25
0.0064323072250072775,0.016307893020221786,0.8333333333333334,0.03198976327575176,26924,1508,5,25
0.006577270122674795,0.017934002869440458,0.8333333333333334,0.0351123595505618,27063,1369,5,25
0.006730054708627554,0.019904458598726114,0.8333333333333334,0.038880248833592534,27201,1231,5,25
0.006908481762959407,0.022381378692927483,0.8333333333333334,0.043591979075850044,27340,1092,5,25
0.007149754395851737,0.02556237218813906,0.8333333333333334,0.0496031746031746,27479,953,5,25
0.007436460715073789,0.02976190476190476,0.8333333333333334,0.05747126436781609,27617,815,5,25
0.007743148803710935,0.03566333808844508,0.8333333333333334,0.06839945280437756,27756,676,5,25
0.008106975922217735,0.04448398576512456,0.8333333333333334,0.08445945945945946,27895,537,5,25
0.008747325677138106,0.0589622641509434,0.8333333333333334,0.11013215859030837,28033,399,5,25
0.01000788152217865,0.08771929824561403,0.8333333333333334,0.15873015873015872,28172,260,5,25
0.01038799858093261,0.09727626459143969,0.8333333333333334,0.17421602787456447,28200,232,5,25
0.010702056825160894,0.10330578512396695,0.8333333333333334,0.18382352941176472,28215,217,5,25
0.011018594741821196,0.10964912280701754,0.8333333333333334,0.1937984496124031,28229,203,5,25
0.011457518041133881,0.11682242990654206,0.8333333333333334,0.20491803278688525,28243,189,5,25
0.011797034263610846,0.125,0.8333333333333334,0.21739130434782608,28257,175,5,25
0.0122696965932846,0.13513513513513514,0.8333333333333334,0.23255813953488372,28272,160,5,25
0.012957743525505125,0.14619883040935672,0.8333333333333334,0.24875621890547264,28286,146,5,25
0.014019320428371479,0.1592356687898089,0.8333333333333334,0.26737967914438504,28300,132,5,25
0.015112483799457533,0.17482517482517482,0.8333333333333334,0.28901734104046245,28314,118,5,25
0.016231045961379607,0.1937984496124031,0.8333333333333334,0.31446540880503143,28328,104,5,25
0.017958861112594513,0.21929824561403508,0.8333333333333334,0.3472222222222222,28343,89,5,25
0.019865184843540377,0.25,0.8333333333333334,0.38461538461538464,28357,75,5,25
0.022462231218814667,0.29069767441860467,0.8333333333333334,0.43103448275862066,28371,61,5,25
0.025419554114341724,0.3472222222222222,0.8333333333333334,0.49019607843137253,28385,47,5,25
0.03377817702293452,0.43859649122807015,0.8333333333333334,0.5747126436781609,28400,32,5,25
0.05398310512304875,0.5813953488372093,0.8333333333333334,0.684931506849315,28414,18,5,25
0.2822656031252001,0.8275862068965517,0.8,0.8135593220338984,28427,5,6,24
